"Year","Area","Street","Street.2"
2011,"Birmingham","GEORGE FREDERICK ROAD",""
2011,"Birmingham","Golden Pond Take Away Boldmere Road",""
2011,"Birmingham","Good Hope Hospital",""
2011,"Birmingham","Gracechurch Centre",""
2011,"Birmingham","Gracechurch Centre Outside Supercigs",""
2011,"Birmingham","GraceChurch Shopping Centre Sutton Coldfield",""
2011,"Birmingham","Grassed Area Pype Hayes Park",""
2011,"Birmingham","Gravelley Lane",""
2011,"Birmingham","Gravelley Lane",""
2011,"Birmingham","Gravelley Lane",""
2011,"Birmingham","Gravelly Lane Erdington Birmingham",""
2011,"Birmingham","Hairy Lemon Pub Sutton Coldfield",""
2011,"Birmingham","Hairy Lemon Pub Sutton Coldfield",""
2011,"Birmingham","Hermatige Road",""
2011,"Birmingham","Hermatige Road",""
2011,"Birmingham","HERMITAGE DRIVE",""
2011,"Birmingham","High Street",""
2011,"Birmingham","High Street Erdington",""
2011,"Birmingham","High Street Erdington",""
2011,"Birmingham","High Street Erdington",""
2011,"Birmingham","High Street S C",""
2011,"Birmingham","High Street S C",""
2011,"Birmingham","Hight St ErdINGTON",""
2011,"Birmingham","HUNTON HILL",""
2011,"Birmingham","KFC Retail Outlet Erdington High Street",""
2011,"Birmingham","Kingsbury Road Erdington B Ham",""
2011,"Birmingham","Kingstanding Circle",""
2011,"Birmingham","Ladywell Walk Birmingham",""
2011,"Birmingham","Landsdown Road",""
2011,"Birmingham","LICHFIELD ROAD MERE GREEN",""
2011,"Birmingham","LICHFIELD ROAD SUTTON COLDFIELD",""
2011,"Birmingham","Lindridge Road Sutton Coldfield",""
2011,"Birmingham","Little Aston Lane",""
2011,"Birmingham","LONGFORD ROAD",""
2011,"Birmingham","Longford Road Kingstanding B Ham",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","LOWER PARADE",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","LOWER PARADE",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","LOWER PARADE",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","LOWER PARADE",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","LOWER PARADE",""
2011,"Birmingham","LOWER PARADE",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","LOWER PARADE",""
2011,"Birmingham","Lower Parade SC",""
2011,"Birmingham","LOWER PARADE SUTTON",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade Suton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade Sutton Coldfield Town Centre",""
2011,"Birmingham","Lower Parade Sutton Coldfield Town Centre",""
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lydham Close",""
2011,"Birmingham","Mill Street",""
2011,"Birmingham","Mill Street Sutton Coldfield",""
2011,"Birmingham","Moor Hall Hotel",""
2011,"Birmingham","Mulberry Court Carpark Kings Road Kingstanding Birmingham",""
2011,"Birmingham","Newhall Walk Car Park",""
2011,"Birmingham","Newhall Walk Car Park",""
2011,"Birmingham","O S H A",""
2011,"Birmingham","O S Litten Tree",""
2011,"Birmingham","O S Litten Tree S C Town Centre",""
2011,"Birmingham","O S MooMoo Bar S C Town Centre",""
2011,"Birmingham","O S Moomoo Bar South Parade",""
2011,"Birmingham","O S Retro",""
2011,"Birmingham","O S Retro South Parade",""
2011,"Birmingham","O S Retros",""
2011,"Birmingham","O S Royal Hotel Lichfield Road",""
2011,"Birmingham","O S Temple Bar",""
2011,"Birmingham","O S Temple Bar",""
2011,"Birmingham","O S Temple Bar High Street",""
2011,"Birmingham","O S Temple Bar Lower Parade Sutton Coldfield",""
2011,"Birmingham","O S Temple Bar S C Town Centre",""
2011,"Birmingham","O S Temple Bar Sutton Coldfield West Milands",""
2011,"Birmingham","O S The Hairy Lemon",""
2011,"Birmingham","On Pavement Outside The Royal Hotel",""
2011,"Birmingham","Ourtside Royal Pub Lichfield Road Sutton Coldfield",""
2011,"Birmingham","Outside Glendale Tower Lyndhurst Estate",""
2011,"Birmingham","Outside Litten Tree Pub Birmingham Road Sutton Coldfield",""
2011,"Birmingham","Outside Moo Moo Club Town Centre Sutton Coldfield",""
2011,"Birmingham","Outside Moo Moo Night Club South Parade",""
2011,"Birmingham","Outside Temple Parade Lower Parade",""
2011,"Birmingham","Outside The Temple Bar Lower Parade SC",""
2011,"Birmingham","PARADE SUTTON COLDFIELD",""
2011,"Birmingham","Parade SC",""
2011,"Birmingham","Parade Sutton Coldfield",""
2011,"Birmingham","Parade Sutton Coldfield",""
2011,"Birmingham","PARADE SUTTON COLDFIELD",""
2011,"Birmingham","Parade Sutton Town",""
2011,"Birmingham","Parade Sutton Coldfield",""
2011,"Birmingham","Parade Sutton Coldfield",""
2011,"Birmingham","Parade Sutton Town Centre",""
2011,"Birmingham","Parkeston Crescent Kinsgatnding B Ham",""
2011,"Birmingham","PLANTS GROVE ERDINGTON",""
2011,"Birmingham","Pype Hayes Road Pype Hayes B Ham",""
2011,"Birmingham","Pype Hayes Road Pype Hayes B Ham",""
2011,"Birmingham","Pype Hayes Road Pype Hayes B Ham",""
2011,"Birmingham","Queen Street",""
2011,"Birmingham","Queen Street",""
2011,"Birmingham","Queen Street",""
2011,"Birmingham","Queen Street",""
2011,"Birmingham","Queen Street Sutton Coldfield Town Centre",""
2011,"Birmingham","Queslett Road East",""
2011,"Birmingham","REDACRE RD BOLDMERE",""
2011,"Birmingham","RESERVOIR ROAD",""
2011,"Birmingham","Ridgeway",""
2011,"Birmingham","Slade Road Erdington B Ham",""
2011,"Birmingham","Slade Road Erdington B Ham",""
2011,"Birmingham","Soth Parade Sutton Coldfield",""
